Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
"HAYES, KEVIN",NY Rangers,52,680:32:00,11,11,7,22,71,97,124,15.49,0.97,0.97,0.62,1.94,6.26,8.55,10.93,30.6,30.6,61.1
"DOMI, MAX",Arizona,33,439:11:00,4,10,6,14,47,61,85,8.51,0.55,1.37,0.82,1.91,6.42,8.33,11.61,22.2,55.6,77.8
"ATKINSON, CAM",Columbus,57,725:04:00,13,10,7,23,122,146,197,10.66,1.08,0.83,0.58,1.9,10.1,12.08,16.3,40.6,31.2,71.9
"PAVELSKI, JOE",San Jose,58,851:28:00,11,16,8,27,118,166,201,9.32,0.78,1.13,0.56,1.9,8.32,11.7,14.16,28.2,41,69.2
"CIZIKAS, CASEY",NY Islanders,50,569:21:00,6,12,8,18,58,71,90,10.34,0.63,1.26,0.84,1.9,6.11,7.48,9.48,26.1,52.2,78.3
"CHIMERA, JASON",NY Islanders,56,632:50:00,12,8,4,20,75,91,110,16,1.14,0.76,0.38,1.9,7.11,8.63,10.43,37.5,25,62.5
"FILPPULA, VALTTERI",Tampa Bay,54,696:43:00,6,16,14,22,54,69,75,11.11,0.52,1.38,1.21,1.89,4.65,5.94,6.46,20,53.3,73.3
"SEGUIN, TYLER",Dallas,59,827:52:00,11,15,9,26,139,189,233,7.91,0.8,1.09,0.65,1.88,10.07,13.7,16.89,33.3,45.5,78.8
"JAGR, JAROMIR",Florida,56,764:30:00,6,18,12,24,88,118,147,6.82,0.47,1.41,0.94,1.88,6.91,9.26,11.54,15.8,47.4,63.2
"HORVAT, BO",Vancouver,56,734:53:00,12,11,8,23,79,123,142,15.19,0.98,0.9,0.65,1.88,6.45,10.04,11.59,40,36.7,76.7
"RUST, BRYAN",Pittsburgh,50,610:31:00,8,11,7,19,81,112,148,9.88,0.79,1.08,0.69,1.87,7.96,11.01,14.55,26.7,36.7,63.3
"HORNQVIST, PATRIC",Pittsburgh,51,643:04:00,8,12,7,20,133,158,193,6.01,0.75,1.12,0.65,1.87,12.41,14.74,18.01,20.5,30.8,51.3
"WILSON, SCOTT",Pittsburgh,54,547:11:00,5,12,7,17,91,115,142,5.49,0.55,1.32,0.77,1.86,9.98,12.61,15.57,22.7,54.5,77.3
"MAROON, PATRICK",Edmonton,58,806:22:00,18,7,2,25,104,141,177,17.31,1.34,0.52,0.15,1.86,7.74,10.49,13.17,43.9,17.1,61
"NASH, RICK",NY Rangers,45,551:16:00,9,8,7,17,88,125,159,10.23,0.98,0.87,0.76,1.85,9.58,13.61,17.31,36,32,68
"WINNIK, DANIEL",Washington,46,454:02:00,5,9,7,14,39,58,68,12.82,0.66,1.19,0.93,1.85,5.15,7.66,8.99,31.2,56.2,87.5
"PEARSON, TANNER",Los Angeles,54,650:05:00,14,6,5,20,89,138,185,15.73,1.29,0.55,0.46,1.85,8.21,12.74,17.07,51.9,22.2,74.1
"HAULA, ERIK",Minnesota,47,585:14:00,12,6,3,18,85,110,134,14.12,1.23,0.62,0.31,1.85,8.71,11.28,13.74,44.4,22.2,66.7
"STEPAN, DEREK",NY Rangers,57,781:34:00,7,17,12,24,103,128,164,6.8,0.54,1.31,0.92,1.84,7.91,9.83,12.59,20,48.6,68.6
"BAILEY, JOSH",NY Islanders,56,814:23:00,7,18,12,25,92,124,160,7.61,0.52,1.33,0.88,1.84,6.78,9.14,11.79,17.5,45,62.5
"BEAGLE, JAY",Washington,55,554:50:00,9,8,5,17,57,76,88,15.79,0.97,0.87,0.54,1.84,6.16,8.22,9.52,37.5,33.3,70.8
"LINDHOLM, ELIAS",Carolina,43,587:31:00,5,13,12,18,77,113,141,6.49,0.51,1.33,1.23,1.84,7.86,11.54,14.4,20.8,54.2,75
"ANDERSON, JOSH",Columbus,56,655:27:00,10,10,6,20,84,111,137,11.9,0.92,0.92,0.55,1.83,7.69,10.16,12.54,34.5,34.5,69
"PANARIN, ARTEMI",Chicago,57,885:12:00,8,19,12,27,86,132,184,9.3,0.54,1.29,0.81,1.83,5.83,8.95,12.47,19.5,46.3,65.9
"DUCHENE, MATT",Colorado,51,689:17:00,10,11,6,21,88,125,147,11.36,0.87,0.96,0.52,1.83,7.66,10.88,12.8,41.7,45.8,87.5
"NELSON, BROCK",NY Islanders,56,689:16:00,9,12,6,21,85,108,152,10.59,0.78,1.04,0.52,1.83,7.4,9.4,13.23,32.1,42.9,75
"TAVARES, JOHN",NY Islanders,56,853:38:00,11,15,8,26,114,155,207,9.65,0.77,1.05,0.56,1.83,8.01,10.89,14.55,26.2,35.7,61.9
"BENN, JAMIE",Dallas,55,755:32:00,8,15,7,23,92,131,173,8.7,0.64,1.19,0.56,1.83,7.31,10.4,13.74,32,60,92
"RAKELL, RICKARD",Anaheim,48,691:12:00,16,5,3,21,84,120,157,19.05,1.39,0.43,0.26,1.82,7.29,10.42,13.63,57.1,17.9,75
"RIBEIRO, MIKE",Nashville,46,593:30:00,2,16,8,18,31,42,59,6.45,0.2,1.62,0.81,1.82,3.13,4.25,5.96,7.7,61.5,69.2
"VRBATA, RADIM",Arizona,56,729:34:00,7,15,10,22,107,139,181,6.54,0.58,1.23,0.82,1.81,8.8,11.43,14.89,25.9,55.6,81.5
"JOHANSSON, MARCUS",Washington,56,763:20:00,10,13,9,23,63,85,113,15.87,0.79,1.02,0.71,1.81,4.95,6.68,8.88,25,32.5,57.5
"SMITH, ZACK",Ottawa,53,666:11:00,9,11,5,20,90,118,150,10,0.81,0.99,0.45,1.8,8.11,10.63,13.51,33.3,40.7,74.1
"SCHWARTZ, JADEN",St. Louis,54,768:07:00,9,14,8,23,76,106,143,11.84,0.7,1.09,0.62,1.8,5.94,8.28,11.17,26.5,41.2,67.6
"HALL, TAYLOR",New Jersey,47,709:51:00,4,17,12,21,115,144,183,3.48,0.34,1.44,1.01,1.77,9.72,12.17,15.47,16.7,70.8,87.5
"DRAISAITL, LEON",Edmonton,58,811:17:00,8,16,9,24,81,112,141,9.88,0.59,1.18,0.67,1.77,5.99,8.28,10.43,22.2,44.4,66.7
"TURRIS, KYLE",Ottawa,55,781:31:00,12,11,7,23,81,106,156,14.81,0.92,0.84,0.54,1.77,6.22,8.14,11.98,40,36.7,76.7
"GETZLAF, RYAN",Anaheim,52,785:23:00,4,19,13,23,61,96,126,6.56,0.31,1.45,0.99,1.76,4.66,7.33,9.63,14.3,67.9,82.1
